word,idf,index
two,2.5401619446154586,0
reuter,0.13385209360703212,1
approves,8.099347810403193,2
for,1.064273813025571,3
five,3.3933699087206706,4
board,3.563294910162983,5
april,2.7243083790562683,6
meeting,4.131257058357937,7
shares,2.7001767165833703,8
products,4.302334832567048,9
split,4.57578585434618,10
ch,11.421275905290555,11
mln,1.0262773907888834,12
its,1.4397086233875407,13
an,2.139345878335112,14
stock,2.684873973972265,15
in,0.8777606891383879,16
directors,5.323243822330029,17
approved,4.874381445402919,18
common,3.4994349682160655,19
shareholders,3.6798089188894085,20
to,0.7697756846378166,21
voted,7.563294910162984,22
inc,1.3864769427132877,23
champion,9.8363134045694,24
record,2.797394415277097,25
as,2.424096424352934,26
recommend,7.720836187149463,27
company,1.7720197277732408,28
from,1.5995019233199876,29
annual,4.387852903753105,30
a,0.9149683241902489,31
of,0.5675764849903348,32
at,2.0780901898426745,33
capital,4.281724552891762,34
the,0.8088681121518854,35
increase,3.9866476776538304,36
authorized,6.639916191765897,37
one,2.4058608529038676,38
also,2.666388403127087,39
said,0.8227580946779329,40
product,6.081425902405932,41
moves,6.693355450727356,42
acquire,4.163888062597904,43
purchase,4.339126863936684,44
time,4.236400562382271,45
terminal,8.251350903848243,46
n,5.135873686428307,47
including,4.686566285064717,48
s,1.4079532318651078,49
makes,5.92942280896088,50
technolgy,12.421275905290557,51
licensee,9.8363134045694,52
completes,5.7774197155158316,53
under,3.6630526905638305,54
right,5.882117094182523,55
buy,3.8400753233655984,56
delivery,7.666388403127087,57
sold,4.62037600537025,58
not,2.3285187643707026,59
be,2.073654536722421,60
ensure,7.61392098323295,61
impact,6.081425902405932,62
computer,5.76306442253876,63
switzerland,8.17334839184697,64
forms,8.961844286653259,65
generated,8.720836187149464,66
has,2.03973295410597,67
exclusive,8.961844286653259,68
warrants,7.099347810403193,69
market,3.3605799736030018,70
were,2.8743814454029186,71
pct,1.908535442487057,72
change,5.261404568512166,73
exercisable,8.514385309682037,74
equal,6.961844286653258,75
woodco,12.421275905290557,76
v,7.897713949233543,77
tex,10.836313404569399,78
conditions,5.653091580513629,79
share,2.2364005623822716,80
sedio,12.421275905290557,81
continue,4.76306442253876,82
worldwide,6.748850563319061,83
pay,3.211822539661606,84
costs,4.874381445402919,85
matrix,10.836313404569399,86
printers,10.099347810403193,87
outstanding,4.140505135159953,88
control,4.953670355207558,89
up,3.1852617133904704,90
it,1.159181059920376,91
technology,5.851420296959607,92
price,3.8438470772548063,93
if,3.766639876762588,94
lugano,12.421275905290557,95
dlrs,1.24822344751644,96
involving,7.897713949233543,97
exceed,7.099347810403193,98
current,3.8743814454029186,99
are,2.9414956412614557,100
houston,7.61392098323295,101
would,2.596317164762033,102
rights,5.851420296959607,103
help,5.211822539661606,104
years,4.404467617604001,105
cpml,12.421275905290557,106
part,4.472908673705878,107
holdings,5.003423390404658,108
terminals,9.421275905290555,109
future,4.961844286653258,110
operation,6.081425902405932,111
completed,4.6074947140735185,112
but,2.7453188723488067,113
any,4.154489364595654,114
and,0.7937420208177633,115
additional,5.312751448512386,116
per,3.072547751059478,117
systems,4.799224085834179,118
dot,8.961844286653259,119
certain,5.081425902405931,120
labels,10.836313404569399,121
reorganization,7.720836187149463,122
plan,4.799224085834179,123
improvements,8.17334839184697,124
ticket,10.421275905290555,125
total,3.7882807081475978,126
sale,3.5947274179996405,127
occur,8.099347810403193,128
circumstances,7.563294910162984,129
tags,12.421275905290557,130
qtr,2.153318820887716,131
carry,7.61392098323295,132
or,2.5371053861821204,133
tax,3.443995981790639,134
deposits,6.720836187149463,135
net,1.5923460776390688,136
cbco,12.421275905290557,137
forward,7.961844286653258,138
shr,1.8714912373426955,139
includes,3.649786435789957,140
th,3.041897538219293,141
assets,4.2413668152756205,142
cobanco,12.421275905290557,143
available,5.74885056331906,144
vs,1.4511700146783744,145
extraordinary,4.707030387624433,146
year,1.4758320689126436,147
gain,3.9455424743241574,148
loans,5.720836187149463,149
cts,1.3982146555552206,150
note,2.4554916206284685,151
payment,5.653091580513629,152
exclude,6.5386328559287135,153
seven,4.426922468431698,154
oper,4.398908092262101,155
shrs,3.724308379056268,156
four,3.7882807081475978,157
prior,3.279168847988005,158
credits,5.7774197155158316,159
operating,4.484637966287985,160
results,4.14981287738618,161
mths,4.117495157113453,162
nil,5.6798089188894085,163
nine,3.683183645670065,164
carryforwards,7.421275905290556,165
jan,4.028958482511795,166
after,3.2265190508683075,167
calculated,8.514385309682037,168
profit,2.7792242123625783,169
loss,2.441136327651398,170
am,7.333813064040216,171
dividends,5.945542474324157,172
nd,5.163888062597904,173
revs,2.5189007908045298,174
six,3.3989080922621007,175
avg,3.752390921024308,176
international,3.4994349682160655,177
